"","Temp","Day","Symbiont","Pot","Replicate","cells.larvae","count.type","cells.larvae_log","cells.larvae_counts","cells.larvae_counts_round","Infect","PotCode"
"1210","27","7","D1","1","C",466.6666667,"hemo",2.50974023135927,322.400160688536,322,1,"271D1"
"1371","27","7","D1","2","A",868.5185185,"hemo",2.76292210564135,578.324780348704,578,1,"272D1"
"141","27","7","D1","2","B",1270.37037,"hemo",2.9180157605916,826.972210364149,827,1,"272D1"
"151","27","7","D1","2","C",700,"hemo",2.67497493688866,472.123954215497,472,1,"272D1"
"1611","27","7","D1","3","A",777.7777778,"hemo",2.71792873752322,521.31047712909,521,1,"273D1"
"171","27","7","D1","3","B",1827.777778,"hemo",3.06643127969641,1164.28264850965,1164,1,"273D1"
"181","27","7","D1","3","C",2294.444444,"hemo",3.15921477895405,1441.82872146587,1442,1,"273D1"
"581","30","7","D1","1","A",6688.888889,"hemo",3.5958937704361,3942.60828588866,3943,1,"301D1"
"591","30","7","D1","1","B",1322.222222,"hemo",2.93433481860272,858.676031887464,859,1,"301D1"
"601","30","7","D1","1","C",3111.111111,"hemo",3.2834717884655,1919.75418654698,1920,1,"301D1"
"611","30","7","D1","2","A",2255.555556,"hemo",3.15223926842689,1418.83954684347,1419,1,"302D1"
"621","30","7","D1","2","B",1970.37037,"hemo",3.09708213126933,1249.49549435823,1249,1,"302D1"
"631","30","7","D1","2","C",1322.222222,"hemo",2.93433481860272,858.676031887464,859,1,"302D1"
"641","30","7","D1","3","A",1088.888889,"hemo",2.85513929163062,715.373136323017,715,1,"303D1"
"651","30","7","D1","3","B",2022.222222,"hemo",3.10768097123746,1280.38894021734,1280,1,"303D1"
"661","30","7","D1","3","C",175,"hemo",2.1107819077453,128.057101709947,128,1,"303D1"
"1061","31","7","D1","1","A",0,"hemo",0,0,0,0,"311D1"
"1071","31","7","D1","1","B",12.96296296,"hemo",1.07627893079737,10.9200734312452,11,1,"311D1"
"1081","31","7","D1","1","C",90.74074074,"hemo",1.84480850787794,68.9533484856945,69,1,"311D1"
"1091","31","7","D1","2","A",51.85185185,"hemo",1.61967659640402,40.6559071276609,41,1,"312D1"
"1101","31","7","D1","2","B",103.7037037,"hemo",1.89876432165626,78.2071380897239,78,1,"312D1"
"1141","31","7","D1","3","C",116.6666667,"hemo",1.94641424374372,87.3922611655715,87,1,"313D1"
"1012","27","14","D1","1","A",1827.777778,"hemo",3.06643127969641,1164.28264850965,1164,1,"271D1"
"1111","27","14","D1","1","B",836.1111111,"hemo",2.74741612003683,558.005550390679,558,1,"271D1"
"1212","27","14","D1","1","C",758.3333333,"hemo",2.70760651710409,509.042677697684,509,1,"271D1"
"139","27","14","D1","2","A",1050,"hemo",2.84030655306655,691.31948224713,691,1,"272D1"
"142","27","14","D1","2","B",725.9259259,"hemo",2.68980074880009,488.554163890735,489,1,"272D1"
"152","27","14","D1","2","C",1490.740741,"hemo",2.98327174987138,961.214173636342,961,1,"272D1"
"1621","27","14","D1","3","A",1931.481481,"hemo",3.08894842031398,1226.29346101089,1226,1,"273D1"
"172","27","14","D1","3","B",2398.148148,"hemo",3.17725364259373,1503.02010799412,1503,1,"273D1"
"182","27","14","D1","3","C",3292.592593,"hemo",3.30660968466242,2024.86119021459,2025,1,"273D1"
"552","30","14","D1","1","A",0,"hemo",0,0,0,0,"301D1"
"562","30","14","D1","1","B",1750,"hemo",3.04868897731844,1117.63647809738,1118,1,"301D1"
"572","30","14","D1","1","C",1050,"hemo",2.84030655306655,691.31948224713,691,1,"301D1"
"582","30","14","D1","2","A",1166.666667,"hemo",2.88327974975869,763.327965084657,763,1,"302D1"
"592","30","14","D1","2","B",1400,"hemo",2.95765184716863,906.093066095945,906,1,"302D1"
"602","30","14","D1","2","C",2488.888889,"hemo",3.1924091691565,1556.43227043227,1556,1,"302D1"
"197","27","7","F1","1","A",0,"ddPCR",0,0,0,0,"271F1"
"205","27","7","F1","1","B",39.311784,"ddPCR",1.60543201830218,39.311784,39,1,"271F1"
"213","27","7","F1","2","A",0,"ddPCR",0,0,0,0,"272F1"
"221","27","7","F1","2","B",8.73867670833333,"ddPCR",0.988499948941036,8.73867670833333,9,1,"272F1"
"229","27","7","F1","3","A",60.386334875,"ddPCR",1.78807170422115,60.386334875,60,1,"273F1"
"237","27","7","F1","3","B",1093.47279875,"ddPCR",3.03920497239132,1093.47279875,1093,1,"273F1"
